date	title	amount	datevalue
2016-04-05	Netflix Com	44.60	42465
2016-04-05	Dia Loja	72.58	42465
2016-04-06	Ke Supimpa	8.00	42466
2016-04-07	Google Play Wallet	22.82	42467
2016-04-08	Lanchonete da Fisica	8.50	42468
2016-04-08	Mercadopago Mlivre 1/6	7.93	42468
2016-04-09	Ebanx Spotify	14.90	42469
2016-04-12	Dia Loja	34.92	42472
2016-04-12	Fufu Lia	7.00	42472
2016-04-13	Google Play Cheparev	7.79	42473
2016-04-13	IOF de "Paypal Jerrychsz"	3.92	42473
2016-04-14	Habibs	7.86	42474
2016-04-14	Habibs	9.84	42474
2016-04-15	Supermercado Padrao	30.02	42475
2016-04-15	Mc Donalds Av Fco Mto	8.50	42475
2016-04-15	Ke Supimpa	5.00	42475
2016-04-15	Ke Supimpa	4.00	42475
2016-04-15	Pagamento recebido	-1519.95	42475
2016-04-16	Mercadopago Mlivre 2/3	8.39	42476
2016-04-16	Eucatur 3/10	14.20	42476
2016-04-16	Mercadopago 5/10	6.23	42476
2016-04-16	Expresso Itamarati 4/6	65.66	42476
2016-04-16	Paypal Jerrychsz	61.43	42476
2016-04-16	Mercadopago 2/9	6.36	42476
2016-04-16	Loja do Mecanico 2/8	9.96	42476
2016-04-16	Mercadopago 4/12	6.11	42476
2016-04-16	Mercadopago 3/12	16.33	42476
2016-04-16	Expresso Itamarati 3/6	47.66	42476
2016-04-16	Ke Supimpa	4.00	42476
2016-04-16	Mercadopago 5/10	6.22	42476
2016-04-16	Mercadopago 2/10	6.62	42476
2016-04-16	Mercadopago 2/12	6.91	42476
2016-04-16	Eucatur 9/10	13.10	42476
2016-04-16	Mercadopago Mlivre 2/6	7.97	42476
2016-04-16	Mercadopago*Mlivr 6/6	5.86	42476
2016-04-19	Star	100.00	42479
2016-04-19	Baccio Di Latte	11.00	42479
2016-04-19	The Fifties Eldorado	51.00	42479
2016-04-19	Lanches Bh Ltda	12.20	42479
2016-04-19	Segredo dos Doces	6.10	42479
2016-04-20	Burger King	28.90	42480
2016-04-20	Outback Bz 07 Eldorado	129.03	42480
2016-04-21	The Fifties	98.02	42481
2016-04-23	Habibs	23.45	42483
2016-04-23	Chez Mis	35.20	42483
2016-04-23	Ke Supimpa	4.00	42483
2016-04-26	Mercadopago 1/6	7.05	42486
2016-04-26	Carrefour Ere	121.43	42486
2016-04-26	Dia Loja	3.33	42486
2016-04-26	Mc Donalds Hsc	37.50	42486
2016-04-26	Casas Bahiacom 1/3	11.06	42486
2016-04-28	Habibs	9.90	42488
2016-04-29	Ultrafarma Saude 1/2	23.55	42489
2016-04-30	Ke Supimpa	5.00	42490
2016-05-04	Habibs	13.80	42494
2016-05-03	IOF de "Google Svcs1258463148"	0.11	42493
2016-05-05	Google Svcs1258463148	1.67	42495
2016-05-06	Dia Loja	82.27	42496
2016-05-07	Cinemark Eldorado	37.00	42497
2016-05-07	Cinemark Eldorado	26.00	42497
2016-05-07	Burger King Shopping e	43.90	42497
2016-05-07	Subway Eldorado	25.00	42497
2016-05-10	Lanches Bh Ltda	4.60	42500
2016-05-10	Mercadopago 1/2	5.95	42500
2016-05-10	Maoz	40.50	42500
2016-05-10	Ebanx Spotify	14.90	42500
2016-05-10	Marcio Dionisio Souza	6.00	42500
2016-05-10	Mercadopago 1/3	11.61	42500
2016-05-10	Ke Supimpa	4.00	42500
2016-05-10	Mercadopago 1/2	6.45	42500
2016-05-10	Emporio Azuki	5.99	42500
2016-05-10	Mercadopago 1/5	5.98	42500
2016-05-11	Lanchonete da Fisica	4.50	42501
2016-05-11	Nutricap Com Prod Alim	7.50	42501
2016-05-11	Google Play Kavcom	5.57	42501
2016-05-11	Carrefour Ere	27.05	42501
