data,nome,tipo,valor
2015-09-01,Vanusa (2 dias + VT),Diaristas,-170.0
2015-09-02,Camiseta,Vendas,20.0
2015-09-02,Moletom (cartão),Vendas,100.0
2015-09-02,Camiseta (cartão),Vendas,20.0
2015-09-02,Salário,Funcionário-Marivalda,-1047.43
2015-09-03,Café com quantum,Outras despesas,-30.09
2015-09-03,GPS,JB Contabilidade,-397.85
2015-09-03,Material Limpeza,Material de Limpeza,-295.5
2015-09-03,DARF,JB Contabilidade,-11.11
2015-09-03,FGTS,JB Contabilidade,-88.9
2015-09-03,JB Contabilidade,JB Contabilidade,-394.0
2015-09-04,Vanusa (2 dias + VT),Diaristas,-170.0
2015-09-08,Xerox,Aluguel,1000.0
2015-09-09,Vanusa (2 dias + VT),Diaristas,-170.0
2015-09-11,Erica (2 dias + VT),Diaristas,-164.0
2015-09-11,Moletom (cartão),Vendas,100.0
2015-09-11,Ultrafarma,Compras,-185.11
2015-09-11,Lanchonete,Aluguel,7500.0
2015-09-14,Moletom,Vendas,100.0
2015-09-15,Vanusa (2 dias + VT),Diaristas,-170.0
2015-09-16,2 Camisetas ,Vendas,40.0
2015-09-16,Camiseta,Vendas,20.0
2015-09-18,Chaveiro + caneca (cartão),Vendas,10.0
2015-09-18,Camiseta (cartão),Vendas,20.0
2015-09-18,Vale,Funcionário-Marivalda,-500.0
2015-09-18,Erica (4 dias + VT),Diaristas,-328.0
2015-09-18,Pen-drive,Compras,-17.0
2015-09-19,Conta de Luz,Conta de Luz,-166.21
2015-09-22,Caneca,Vendas,5.0
2015-09-22,Fogão eletrico,Compras,-189.0
2015-09-23,Vanusa (2 dias + VT),Diaristas,-170.0
2015-09-25,Caneca,Vendas,5.0
2015-09-29,Cabo HDMI,Compras,-37.0
2015-09-29,Vanusa (2 dias + VT),Diaristas,-170.0
2015-09-30,Repasse,Repasse Atlética,-2740.0
2015-09-30,Repasse (Agosto/Setembro),Repasse Cherateria,-500.0
2015-10-01,Extenção,Compras,-80.0
2015-10-01,Manutenção som,Compras,-348.6
2015-10-01,Projetor,Compras,-2000.0
2015-10-02,FGTS,JB Contabilidade,-88.9
2015-10-02,DARF,JB Contabilidade,-11.11
2015-10-02,Rugby (EMPRESTIMO),Outras despesas,-2900.0
2015-10-02,GPS,JB Contabilidade,-397.85
2015-10-02,Férias 15 dias,Funcionário-Marivalda,-681.62
2015-10-02,Salário,Funcionário-Marivalda,-1047.43
2015-10-02,Erica (2 dias + VT),Diaristas,-164.0
2015-10-02,JB Contabilidade,JB Contabilidade,-394.0
2015-10-02,Material Limpeza,Material de Limpeza,-419.0
2015-10-05,Teatro,Outras despesas,-44.5
2015-10-05,Locaweb,Manutenção do Site,-40.0
2015-10-06,Vanusa (2 dias + VT),Diaristas,-170.0
2015-10-06,Mesas Pranchão,Feira de Livros,-404.0
